,date,avgTemp,bike_rides_daily
0,2022-01-01,11.6,4028
1,2022-01-02,11.4,8571
2,2022-01-03,1.4,6617
3,2022-01-04,-2.7,7487
4,2022-01-05,3.2,6752
5,2022-01-06,4.9,8857
6,2022-01-07,0.7,3425
7,2022-01-08,-2.5,4819
8,2022-01-09,1.4,4310
9,2022-01-10,1.6,7009
10,2022-01-11,-5.4,5366
11,2022-01-12,-1.9,8050
12,2022-01-13,4.0,10238
13,2022-01-14,4.8,9080
14,2022-01-15,-6.7,4718
15,2022-01-16,-8.0,4177
16,2022-01-17,3.9,5787
17,2022-01-18,1.8,8708
18,2022-01-19,3.2,10866
19,2022-01-20,5.1,6686
20,2022-01-21,-6.0,6795
21,2022-01-22,-5.9,6404
22,2022-01-23,-0.7,6592
23,2022-01-24,-0.2,8347
24,2022-01-25,3.6,10106
25,2022-01-26,-2.3,8348
26,2022-01-27,-4.2,8763
27,2022-01-28,0.1,6933
28,2022-01-29,-4.8,542
29,2022-01-30,-7.1,1895
30,2022-01-31,-3.4,4446
31,2022-02-01,-1.7,5730
32,2022-02-02,2.3,8352
33,2022-02-03,6.4,5304
34,2022-02-04,5.8,4065
35,2022-02-05,-2.8,5950
36,2022-02-06,-4.8,5737
37,2022-02-07,0.5,6131
38,2022-02-08,4.1,10422
39,2022-02-09,2.8,11076
40,2022-02-10,6.3,12357
41,2022-02-11,8.6,12883
42,2022-02-12,11.8,13892
43,2022-02-13,2.8,4061
44,2022-02-14,-4.3,6939
45,2022-02-15,-4.7,8182
46,2022-02-16,1.6,10666
47,2022-02-17,11.6,13550
48,2022-02-18,9.9,9520
49,2022-02-19,0.1,6362
50,2022-02-20,-2.6,6311
51,2022-02-21,4.1,10555
52,2022-02-22,5.6,7205
53,2022-02-23,14.4,13262
54,2022-02-24,1.1,8933
55,2022-02-25,0.8,6202
56,2022-02-26,-1.1,8244
57,2022-02-27,2.4,8532
58,2022-02-28,0.8,9126
59,2022-03-01,2.6,11080
60,2022-03-02,7.7,13503
61,2022-03-03,5.6,11057
62,2022-03-04,-1.9,9997
63,2022-03-05,3.1,10230
64,2022-03-06,9.6,10790
65,2022-03-07,18.2,13632
66,2022-03-08,8.7,12334
67,2022-03-09,3.2,5644
68,2022-03-10,4.0,13315
69,2022-03-11,7.2,13994
70,2022-03-12,5.1,3911
71,2022-03-13,-2.3,6296
72,2022-03-14,5.3,12721
73,2022-03-15,11.6,15862
74,2022-03-16,13.6,16533
75,2022-03-17,8.2,9907
76,2022-03-18,13.9,18629
77,2022-03-19,13.1,15592
78,2022-03-20,14.3,13089
79,2022-03-21,10.4,14795
80,2022-03-22,10.7,15253
81,2022-03-23,7.2,12091
82,2022-03-24,5.7,9156
83,2022-03-25,9.6,15101
84,2022-03-26,10.4,12329
85,2022-03-27,5.9,9112
86,2022-03-28,-1.5,7654
87,2022-03-29,-1.2,9536
88,2022-03-30,2.6,12070
89,2022-03-31,9.9,14769
90,2022-04-01,13.1,13739
91,2022-04-02,7.2,14538
92,2022-04-03,7.0,7427
93,2022-04-04,7.6,13886
94,2022-04-05,9.7,14559
95,2022-04-06,8.6,9541
96,2022-04-07,9.1,7022
97,2022-04-08,12.8,17460
98,2022-04-09,11.4,13445
99,2022-04-10,8.6,11576
100,2022-04-11,8.8,14884
101,2022-04-12,13.4,18873
102,2022-04-13,15.4,19793
103,2022-04-14,16.3,18263
104,2022-04-15,15.7,19987
105,2022-04-16,15.7,16208
106,2022-04-17,8.3,10876
107,2022-04-18,7.9,11210
108,2022-04-19,7.6,11746
109,2022-04-20,9.4,17056
110,2022-04-21,10.6,15515
111,2022-04-22,14.6,19437
112,2022-04-23,13.3,18823
113,2022-04-24,12.8,16720
114,2022-04-25,10.4,14564
115,2022-04-26,11.5,15163
116,2022-04-27,11.6,16553
117,2022-04-28,8.2,15463
118,2022-04-29,10.4,17435
119,2022-04-30,12.9,20334
120,2022-05-01,13.6,18789
121,2022-05-02,12.1,10972
122,2022-05-03,12.4,18381
123,2022-05-04,12.0,16029
124,2022-05-05,17.2,21960
125,2022-05-06,14.8,7088
126,2022-05-07,10.0,4046
127,2022-05-08,10.4,12456
128,2022-05-09,13.5,18853
129,2022-05-10,15.4,21060
130,2022-05-11,16.1,21333
