,start_station_name,value
1586,W 21 St & 6 Ave,25930
1716,West St & Chambers St,24670
495,Broadway & W 58 St,22755
286,6 Ave & W 33 St,21208
8,1 Ave & E 68 St,20828
485,Broadway & W 25 St,19971
461,Broadway & E 14 St,19752
1510,University Pl & E 14 St,19593
463,Broadway & E 21 St,19161
1602,W 31 St & 7 Ave,18751
29,12 Ave & W 40 St,18182
788,E 33 St & 1 Ave,18043
590,Cleveland Pl & Spring St,18042
287,6 Ave & W 34 St,17910
24,11 Ave & W 41 St,17497
1105,Lafayette St & E 8 St,17430
1717,West St & Liberty St,17401
562,Central Park S & 6 Ave,17364
796,E 40 St & Park Ave,17261
328,8 Ave & W 33 St,16946
