,date,bike_rides_daily
0,2021-03-11,1
1,2021-03-14,1
2,2021-04-30,1
3,2021-08-16,1
4,2021-11-16,1
5,2021-12-08,1
6,2021-12-19,1
7,2021-12-26,1
8,2021-12-29,1
9,2021-12-30,2
10,2021-12-31,108
11,2022-01-01,4028
12,2022-01-02,8571
13,2022-01-03,6617
14,2022-01-04,7487
15,2022-01-05,6752
16,2022-01-06,8857
17,2022-01-07,3425
18,2022-01-08,4819
19,2022-01-09,4310
20,2022-01-10,7009
21,2022-01-11,5366
22,2022-01-12,8050
23,2022-01-13,10238
24,2022-01-14,9080
25,2022-01-15,4718
26,2022-01-16,4177
27,2022-01-17,5787
28,2022-01-18,8708
29,2022-01-19,10866
30,2022-01-20,6686
31,2022-01-21,6795
32,2022-01-22,6404
33,2022-01-23,6592
34,2022-01-24,8347
35,2022-01-25,10106
36,2022-01-26,8348
37,2022-01-27,8763
38,2022-01-28,6933
39,2022-01-29,542
40,2022-01-30,1895
41,2022-01-31,4446
42,2022-02-01,5730
43,2022-02-02,8352
44,2022-02-03,5304
45,2022-02-04,4065
46,2022-02-05,5950
47,2022-02-06,5737
48,2022-02-07,6131
49,2022-02-08,10422
50,2022-02-09,11076
51,2022-02-10,12357
52,2022-02-11,12883
53,2022-02-12,13892
54,2022-02-13,4061
55,2022-02-14,6939
56,2022-02-15,8182
57,2022-02-16,10666
58,2022-02-17,13550
59,2022-02-18,9520
60,2022-02-19,6362
61,2022-02-20,6311
62,2022-02-21,10555
63,2022-02-22,7205
64,2022-02-23,13262
65,2022-02-24,8933
66,2022-02-25,6202
67,2022-02-26,8244
68,2022-02-27,8532
69,2022-02-28,9126
70,2022-03-01,11080
71,2022-03-02,13503
72,2022-03-03,11057
73,2022-03-04,9997
74,2022-03-05,10230
75,2022-03-06,10790
76,2022-03-07,13632
77,2022-03-08,12334
78,2022-03-09,5644
79,2022-03-10,13315
80,2022-03-11,13994
81,2022-03-12,3911
82,2022-03-13,6296
83,2022-03-14,12721
84,2022-03-15,15862
85,2022-03-16,16533
86,2022-03-17,9907
87,2022-03-18,18629
88,2022-03-19,15592
89,2022-03-20,13089
90,2022-03-21,14795
91,2022-03-22,15253
92,2022-03-23,12091
93,2022-03-24,9156
94,2022-03-25,15101
95,2022-03-26,12329
96,2022-03-27,9112
97,2022-03-28,7654
98,2022-03-29,9536
99,2022-03-30,12070
100,2022-03-31,14769
101,2022-04-01,13739
102,2022-04-02,14538
103,2022-04-03,7427
104,2022-04-04,13886
105,2022-04-05,14559
106,2022-04-06,9541
107,2022-04-07,7022
108,2022-04-08,17460
109,2022-04-09,13445
110,2022-04-10,11576
111,2022-04-11,14884
112,2022-04-12,18873
113,2022-04-13,19793
114,2022-04-14,18263
115,2022-04-15,19987
116,2022-04-16,16208
117,2022-04-17,10876
118,2022-04-18,11210
119,2022-04-19,11746
120,2022-04-20,17056
121,2022-04-21,15515
122,2022-04-22,19437
123,2022-04-23,18823
124,2022-04-24,16720
125,2022-04-25,14564
126,2022-04-26,15163
127,2022-04-27,16553
128,2022-04-28,15463
129,2022-04-29,17435
130,2022-04-30,20334
131,2022-05-01,18789
132,2022-05-02,10972
133,2022-05-03,18381
134,2022-05-04,16029
135,2022-05-05,21960
136,2022-05-06,7088
137,2022-05-07,4046
138,2022-05-08,12456
139,2022-05-09,18853
140,2022-05-10,21060
141,2022-05-11,21333
142,2022-05-12,22215
143,2022-05-13,19068
144,2022-05-14,16151
145,2022-05-15,21772
146,2022-05-16,15812
147,2022-05-17,23234
148,2022-05-18,23443
149,2022-05-19,18169
150,2022-05-20,17125
151,2022-05-21,23057
152,2022-05-22,20641
153,2022-05-23,20162
154,2022-05-24,20917
155,2022-05-25,22919
156,2022-05-26,22396
157,2022-05-27,17803
158,2022-05-28,16587
159,2022-05-29,20243
160,2022-05-30,20181
161,2022-05-31,19930
162,2022-06-01,17639
163,2022-06-02,19679
164,2022-06-03,24159
165,2022-06-04,25592
166,2022-06-05,23023
167,2022-06-06,22134
168,2022-06-07,20483
169,2022-06-08,24844
170,2022-06-09,22693
171,2022-06-10,24375
172,2022-06-11,23106
173,2022-06-12,18215
174,2022-06-13,22504
175,2022-06-14,24751
176,2022-06-15,25566
177,2022-06-16,20374
178,2022-06-17,23957
179,2022-06-18,21804
180,2022-06-19,21236
181,2022-06-20,22628
182,2022-06-21,19920
183,2022-06-22,18994
184,2022-06-23,23396
185,2022-06-24,25044
186,2022-06-25,23703
187,2022-06-26,21180
188,2022-06-27,16081
189,2022-06-28,24270
190,2022-06-29,24419
191,2022-06-30,23415
192,2022-07-01,20742
193,2022-07-02,17871
194,2022-07-03,17812
195,2022-07-04,18831
196,2022-07-05,17609
197,2022-07-06,22626
198,2022-07-07,22953
199,2022-07-08,19551
200,2022-07-09,24593
201,2022-07-10,23172
202,2022-07-11,22148
203,2022-07-12,22228
204,2022-07-13,24174
205,2022-07-14,24085
206,2022-07-15,24172
207,2022-07-16,22391
208,2022-07-17,22066
209,2022-07-18,16764
210,2022-07-19,24059
211,2022-07-20,23532
212,2022-07-21,21736
213,2022-07-22,22657
214,2022-07-23,21587
215,2022-07-24,19952
216,2022-07-25,19171
217,2022-07-26,24502
218,2022-07-27,25217
219,2022-07-28,23592
220,2022-07-29,23082
